"File Name","Item Sequence","Title","Descriptive title","Thumbnail URL","Related","viewingHint","Parent ARK","Item ARK","Object Type","AltTitle.other","AltTitle.uniform","Place of origin","Date.normalized","Date.creation","Scribe","Author","Associated Name","Contributors","Contents note","Colophon","Incipit","Explicit","References","Provenance","General note","Format.extent","Format.weight","Form","Format.dimensions","Folio dimensions","Support","Foliation","Collation","Page layout","Hand note","Illustrations note","Inscription","Additions","Binding note","Binding condition","Ink color","Features","Condition note","Type.typeOfResource","Type.genre","Language","Text direction","Writing system","Script","Script note","Rights.statementLocal","Rights contact","Name.repository","Shelfmark","Collection","Other version(s)","IIIF Manifest URL","delivery","image count","Viscodex"
"","","Sinai, St. Catherine’s Monastery, Arabic 370","Epistle of Antiochus to Anastasius | Sayings of Barsanuphius","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz10k3cxj%2F1z957d06/full/!200,200/0/default.jpg","","paged","ark:/21198/z1bk2gmg","ark:/21198/z10k3cxj","Work","","","","1101/1300","12th c. CE","","","","","","","","","Kamil","","","240 ff.","1667.6 g","Codex","254 x 170 x 87 mm","","Paper","","","","","Decoration on f. 146v, cross","","","","","","Rubrication|~|Marginalia|~|Decoration, Geometric","","text","Theological works|~|Apophthegmata","ara","right-to-left","Arabic","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 370","Old Collection","https://www.nli.org.il/en/manuscripts/NNL_ALEPH003674167 ","http://iiif.library.ucla.edu/ark%3A%2F21198%2Fz10k3cxj/manifest","delivery 1","490",""
"","","Sinai, St. Catherine’s Monastery, Arabic 378","","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1vt2wdt%2Fmh47ng03/full/!200,200/0/default.jpg","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1vt2wdt","Work","St. Antiochus: Pandectes","Antiochus, monk of Palestine, active 7th century. Pandektēs","","1248","1248 CE","","Antiochus, monk of Palestine, active 7th century","","","","","","","Kamil","","","371 ff.","1778.8 g","Codex","221 x 154 x 108 mm","","Paper","f. 177 lacking","","","","","","","","","","Rubrication|~|Dated|~|Marginalia","f. 177 lacking","text","Theological works|~|Apophthegmata","ara","right-to-left","Arabic","Naskh","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 378","Old Collection","https://www.loc.gov/item/00279389773-ms/","http://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1vt2wdt/manifest","delivery 1","754",""
"","","Sinai, St. Catherine’s Monastery, Arabic 379","","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1r224ps%2F06188c0s/full/!200,200/0/default.jpg","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1r224ps","Work","St. Antiochus: Pandectes","Antiochus, monk of Palestine, active 7th century. Pandektēs","","1201/1300","13th c. CE","","Antiochus, monk of Palestine, active 7th century","","","Tables on ff. 1r,-2v","","","","Kamil","","","221 ff.","997.2 g","Codex","224 x 155 x 72 mm","","Paper","","","","","Headpiece on f. 1r, knotwork","","","","","","Rubrication|~|Marginalia|~|Headpiece(s)|~|Decoration, Geometric|~|Table(s)","Book block broken in several places","text","Theological works|~|Apophthegmata","ara","right-to-left","Arabic","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 379","Old Collection","https://www.nli.org.il/en/manuscripts/NNL_ALEPH003890980 ","http://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1r224ps/manifest","delivery 1","452",""
"","","Sinai, St. Catherine’s Monastery, Arabic 382","","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1m91cz2%2Fjm47jk5x/full/!200,200/0/default.jpg","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1m91cz2","Work","St. Antiochus: Pandectes","Antiochus, monk of Palestine, active 7th century. Pandektēs","","1813","1813 CE","","Antiochus, monk of Palestine, active 7th century","","","Table of contents on ff. 2r-4v","","","","Kamil","","","225 ff.","969.3 g","Codex","225 x 169 x 57 mm","","Paper","","","","","","","","","","","Rubrication|~|Dated|~|Marginalia|~|Table of Contents","","text","Theological works|~|Apophthegmata","ara","right-to-left","Arabic","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 382","Old Collection","https://www.nli.org.il/en/manuscripts/NNL_ALEPH003871031 ","http://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1m91cz2/manifest","delivery 1","460",""
"","","Sinai, St. Catherine’s Monastery, Arabic 413","","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1gj0nb3%2Fw064gv32/full/!200,200/0/default.jpg","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1gj0nb3","Work","Synaxarium, Part II, from the months of Adhar (March) to Ab (August)","Synaxarion","","1286","1286 CE","","","","","Followed by incomplete list of seventy disciples","","","","Kamil","","","183 ff.","976.5 g","Codex","228 x 167 x 56 mm","","Paper","","","","","","","","","","","Rubrication|~|Dated","Front board damaged on fore-edge.","text","Liturgical texts|~|Hagiographies","ara","right-to-left","Arabic","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 413","Old Collection","https://www.loc.gov/item/00279389992-ms/","http://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1gj0nb3/manifest","delivery 1","376",""
"","","Sinai, St. Catherine’s Monastery, Arabic 414","","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1bv8kxs%2Fhn12m55r/full/!200,200/0/default.jpg","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1bv8kxs","Work","Synaxarium, Part I, from the months of Ilul to Shbat","Synaxarion","","1201/1300","13th c. CE","","","","","","","","","Kamil","","","166 ff.","905.5 g","Codex","321 x 175 x 52 mm","","Paper","","","","","Ornate headpieces on ff. 28r, 77r, interlace | Headpiece on f. 48v, elongated fleur de lis with chain motif; f. 109r, knotwork with two snake heads on the edge","","","","","","Rubrication|~|Headpiece(s)|~|Decoration, Zoomorphic|~|Decoration, Geometric","","text","Liturgical texts|~|Hagiographies","ara","right-to-left","Arabic","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 414","Old Collection","https://www.loc.gov/item/00279390817-ms/","http://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1bv8kxs/manifest","delivery 1","342",""
"","","Sinai, St. Catherine’s Monastery, Arabic 425","","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1737v8p%2Fw493zj0f/full/!200,200/0/default.jpg","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1737v8p","Work","Kontakion of Our Lady","Kontakarion","","1101/1200","12th c. CE","","","","","Includes list of the names of Saints and Feasts for the whole year","","","","Kamil","","","49 ff.","328.2 g","Codex","215 x 156 x 28 mm","","Paper","","","","","Decorated Greek intials throughout","","","Binding upside down","","","Rubrication|~|Initial(s), Decorated","","text","Liturgical texts|~|Hymnals","ara","right-to-left","Arabic","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 425","Old Collection","https://www.nli.org.il/en/manuscripts/NNL_ALEPH003891674 ","http://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1737v8p/manifest","delivery 1","108",""
"","","Sinai, St. Catherine’s Monastery, Arabic 434","Mimars, Apophthegmata, Sermons, Commentaries and Theological Discourses","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz13b73gf%2Fgj840f12/full/!200,200/0/default.jpg","","paged","ark:/21198/z1bk2gmg","ark:/21198/z13b73gf","Work","","","","1137","1137 CE","","John Chrysostom, Saint, -407|~|Ephrem the Syrian, Saint, 303-373|~|Gregory, of Nazianzus, Saint|~|Basil, Saint, Bishop of Caesarea, approximately 329-379|~|John, Climacus, Saint, active 6th century","","","Miscellaneous Mimars, Apophthegmata ; Sermons ; Commentaries and Theological Discourses, some of which are anonymous, and others by SS. John Chrysostom, Moses of Scetis, Ephraem the Syrian, Gregory the Theologian Bishop of Nazienz, Basil the Great and John Climax ; Troparia of Easter ; Life of St. Nicolaus of Myra ; Martyrdom of St. Barbara ; Encomi­um to Our Lady","","","","Kamil","","","255 ff.","633.9 g","Codex","176 x 145 x 64 mm","","Paper","ff. 246, 249, and 254 lacking (f. 245v foliated as f.246; f. 248v foliated as f. 249; f. 253v foliated as f. 254). ff. 247, 250, 251, and 252 have numeration noted on the verso side, too.","","","","Headpiece on f. 220r, knotwork with elevated crosses","","","","","","Rubrication|~|Dated|~|Headpiece(s)|~|Decoration, Geometric","Ff. 246, 249, and 254 lacking.","text","Theological works|~|Mimars","ara","right-to-left","Arabic","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 434","Old Collection","https://www.loc.gov/item/0027939088A-ms/","http://iiif.library.ucla.edu/ark%3A%2F21198%2Fz13b73gf/manifest","delivery 1","514",""
"","","Sinai, St. Catherine’s Monastery, Arabic 435","Mimars","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1zk6kz9%2Frq51tn6g/full/!200,200/0/default.jpg","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1zk6kz9","Work","","","","1142","1142 CE","","John, Climacus, Saint, active 6th century|~|Ephrem the Syrian, Saint, 303-373|~|John Chrysostom, Saint, -407","","","Mimars by SS. John Climax, Ephraem the Syrian, John Chrysaostom and other anonymous Mimars ; St. Isaiah's Councils to the Monks and a sermon by the same","","","","Kamil","","","253 ff.","772.0 g","Codex","172 x 138 x 376 mm","","Paper","f. 254 glued down to inside back board","","","","","","","","","","Rubrication|~|Dated","","text","Theological works|~|Mimars","ara","right-to-left","Arabic","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 435","Old Collection","https://www.loc.gov/item/00279390878-ms/","http://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1zk6kz9/manifest","delivery 1","516",""
"","","Sinai, St. Catherine’s Monastery, Arabic 449","","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1tt5v70%2Fpf79qx3m/full/!200,200/0/default.jpg","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1tt5v70","Work","St. John Chrysostom’s Commentary on the Book of Genesis","Liturgy of Saint Basil|~|John Chrysostom, Saint, -407. Homilies on Genesis","","1201/1300","13th c. CE","","John Chrysostom, Saint, -407","","","","","","","Kamil","","","112 ff.","412.3 g","Codex","177 x 140 x 37 mm","","Paper","","","","","","","","","","","Rubrication","","text","Liturgical texts|~|Commentaries|~|Theological works","ara","right-to-left","Arabic","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 449","Old Collection","https://www.nli.org.il/en/manuscripts/NNL_ALEPH003890981 ","http://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1tt5v70/manifest","delivery 1","234",""
"","","Sinai, St. Catherine’s Monastery, Arabic 450","Apophthegmata | Mimars by SS. John Chrysostom and Dorotheus","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1q253jd%2Fsz820g6m/full/!200,200/0/default.jpg","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1q253jd","Work","Lectionary of Gospels","Evangelion","","1201/1300","13th c. CE","","John Chrysostom, Saint, -407","","","","","","","Kamil","","","141 ff.","426.3 g","Codex","164 x 126 x 58 mm","","Paper","f. 111 written as f. 101. f. 142 glued down to inside back board","","","","","","","f. 142 glued down to inside back board","","","Rubrication","","text","Theological works|~|Mimars|~|Apophthegmata|~|Gospel books|~|Biblical texts|~|Liturgical texts","ara|~|syc","right-to-left","Arabic|~|Syriac","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 450","Old Collection","https://www.nli.org.il/en/manuscripts/NNL_ALEPH003890982 ","http://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1q253jd/manifest","delivery 1","292",""
"","","Sinai, St. Catherine’s Monastery, Arabic 451","Mimars | Epistles  | Sermons","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1k94bwk%2F9v828w9w/full/!200,200/0/default.jpg","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1k94bwk","Work","","","","1233","1233 CE","","","","","Mimars by St. John Damascene on the Orthodox Creed ; Epistle of St. Athanasius Pope and Patriarch of Alexandria to all the inhabitants of Nubia and Egypt ; Service of the Dead ; Teaching of St. Theodore ; Sermons and prayers on various occasions ; Short table in Epact for determining Easter and Feasts","","","","Kamil","","","116 ff.","465.6 g","Codex","193 x 142 x 39 mm","","Paper","f. 117 glued down to inside back board","","","","","","","","","","Rubrication|~|Dated","","text","Theological works|~|Mimars","ara","right-to-left","Arabic","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 451","Old Collection","https://www.loc.gov/item/00279391068-ms/","http://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1k94bwk/manifest","delivery 1","242",""
"","","Sinai, St. Catherine’s Monastery, Arabic 469","Mimars, Apophthegmata, and other Theological works","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1fn29g7%2Fgs97f16t/full/!200,200/0/default.jpg","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1fn29g7","Work","","","","1201/1300","13th c. CE","","","","","Miracles of St. Nicolas ; Sayings and Mimars derived from the works of SS.  Ephraem and Basil. Tract on the Cyclus or determination of Easter and Lent ; Lives of saints, including those of Andrew the Apostle, John who owned the Golden Gospel, an unnamed monk, Onesima, Mar­ianus and the Apostle Philip ; Martyrdom of al-Hārith and his companions St, Nagran","","","","Kamil","","","117 ff.","335.8 g","Codex","180 x 140 x 40 mm","","Paper","","","ff. 81–97 without margins","","Geometric decoration on f. 70v, cross | Headpiece on f. 49r, knotwork with an elevated cross | Minor geometric headpieces on ff. 67r, 70r; ff. 83v, 86v, thin line with loops | Minor zoomorphic headpieces on ff. 102r, 114r, 118r, serpents(?)","","","","","","Rubrication|~|Headpiece(s)|~|Decoration, Zoomorphic|~|Decoration, Geometric","ff. 4v–5r tight","text","Theological works|~|Mimars","ara","right-to-left","Arabic","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 469","Old Collection","https://www.loc.gov/item/00279391123-ms/","http://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1fn29g7/manifest","delivery 1","242",""
"","","Sinai, St. Catherine’s Monastery, Arabic 472","Hayākil al-nūr by Shihab al-Din | The Life of St. Pantaleon  | Prayers","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz19w1jvv%2Fmn97b60n/full/!200,200/0/default.jpg","","paged","ark:/21198/z1bk2gmg","ark:/21198/z19w1jvv","Work","","John Chrysostom, Saint, -407. Homilies on John","","1201/1300","13th c. CE","","John Chrysostom, Saint, -407","","","","","","","Kamil","","","173 ff.","704.1 g","Codex","206 x 155 x 51 mm","","Paper","","","","","","","","","","","Rubrication|~|Marginalia","First ten leaves and occasional other ones throughout loose","text","Theological works|~|Commentaries","ara","right-to-left","Arabic","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 472","Old Collection","https://www.nli.org.il/en/manuscripts/NNL_ALEPH003890985 ","http://iiif.library.ucla.edu/ark%3A%2F21198%2Fz19w1jvv/manifest","delivery 1","356",""
"","","Sinai, St. Catherine’s Monastery, Arabic 473","Lives of Saints","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1640t2z%2Fv8578d65/full/!200,200/0/default.jpg","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1640t2z","Work","","Bible. Epistles","","1201/1300","13th c. CE","","","","","Books of the Miracles of St. Menas and of St. Simeon ; Historical notes on the Oecumenical Councils ; Epistles of Celestine the Pope of Rome to Nestorius ; Kefalia of St. Cyril Patriarch of Alexandria ; The ten virtues of St. John Baptist","","","","Kamil","","","90 ff.","307.5 g","Codex","172 x 141 x 32 mm","","Paper","","","","","","","","","","","Rubrication|~|Marginalia","ff. 78–90 rodent damage affecting text","text","Historical works|~|Hagiographies","ara","right-to-left","Arabic","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 473","Old Collection","https://www.loc.gov/item/00279391172-ms/","http://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1640t2z/manifest","delivery 1","190",""
"","","Sinai, St. Catherine’s Monastery, Arabic 487","Lives of Saints | Prayers","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz12c0295%2F3k70bz6t/full/!200,200/0/default.jpg","","paged","ark:/21198/z1bk2gmg","ark:/21198/z12c0295","Work","","","","1201/1300","13th c. CE","","","","","Credo followed by prayers to be recited during liturgy ; An account of a celestial epistle which fell at Rome during the Patriarchate of Athanasius ; The Assumption of the Virgin ; The Story of Onesima daughter of the Emperor","","","","Kamil","","","111 ff.","278.0 g","Codex","154 x 124 x 40 mm","","Paper","","","","","","","","","","","Rubrication","Folio torn out between ff. 89 and 90. Back board lacking.","text","Historical works|~|Hagiographies","ara","right-to-left","Arabic","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 487","Old Collection","https://www.loc.gov/item/00279391305-ms/","http://iiif.library.ucla.edu/ark%3A%2F21198%2Fz12c0295/manifest","delivery 1","230",""
"","","Sinai, St. Catherine’s Monastery, Arabic 494","Forty-three theological discourses known as the Book of the Master and the Pupil written by St. Thaddeus of Edessa","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1xk9jtx%2F7d97fh2g/full/!200,200/0/default.jpg","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1xk9jtx","Work","","","","901/1000","10th c. CE","","","","","","","","","Kamil","","","412 ff.","1396.2 g","Codex","207 x 155 x 87 mm","","Paper","ff. 272 and 302 lacking","","","","","","","","","","Rubrication","","text","Theological works|~|Apophthegmata","ara","right-to-left","Arabic","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 494","Old Collection","https://www.loc.gov/item/00279391342-ms/","http://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1xk9jtx/manifest","delivery 1","834",""
"","","Sinai, St. Catherine’s Monastery, Arabic 499","Book of the Master and the Pupil by St. Thaddeus of Edessa","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1st8t3m%2F5d33p893/full/!200,200/0/default.jpg","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1st8t3m","Work","","","","1001/1200 ","11th c. CE","","","","","Book of the Master and the Pupil written by St. Thaddeus of Edessa while in Mt. Sinai to a brother named Māgī al-Tufail in the form of a debate on religion and in reply to the Jews, consisting of 43 Mimars","","","","Kamil","","","203 ff.","591.1 g","Codex","182 x 161 x 62 mm","","Paper","Foliation starts from f. 7.","","","","","","","","","","Rubrication|~|Marginalia","ff. 1–6 aparently torn out/lost","text","Theological works|~|Apophthegmata","ara","right-to-left","Arabic","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 499","Old Collection","https://www.loc.gov/item/00279390088-ms/","http://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1st8t3m/manifest","delivery 1","416",""
"","","Sinai, St. Catherine’s Monastery, Arabic 501","Prayers and Varia","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1p282gx%2Fts30tb67/full/!200,200/0/default.jpg","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1p282gx","Work","","","","1201/1300","13th c. CE","","","","","Prayers. Book of the Master and the Pupil, presenting only ten problems. Life of St. Cyprian. Epistle of St. Macarius Bishop of Mt. Sinai, Psalms","","","","Kamil","","","66 ff.","285.7 g","Codex","183 x 152 x 27 mm","","Paper","","","","","","","","Flap binding","","","Rubrication|~|Marginalia","Complete book block separated from binding. Binding much damaged.","text","Liturgical texts","ara|~|syc","right-to-left","Arabic|~|Syriac","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 501","Old Collection","https://www.loc.gov/item/00279390064-ms/","http://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1p282gx/manifest","delivery 1","147",""
"","","Sinai, St. Catherine’s Monastery, Arabic 57","","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz15q60cw%2Fmr62sk03/full/!200,200/0/default.jpg","","paged","ark:/21198/z1bk2gmg","ark:/21198/z15q60cw","Work","Psalter and Odes","Bible. Psalms|~|Bible. Odes|~|Psalter","","1601/1700","17th c. CE","","","","","","","","","Kamil","","","184 ff.","344.5 g","Codex","160 x 114 x 39 mm","","Paper","","","","","","","","","","","Rubrication|~|Marginalia","","text","Biblical texts|~|Liturgical texts","ara","right-to-left","Arabic","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 57","Old Collection","https://www.nli.org.il/en/manuscripts/NNL_ALEPH003891599 ","http://iiif.library.ucla.edu/ark%3A%2F21198%2Fz15q60cw/manifest","delivery 1","378",""
"","","Sinai, St. Catherine’s Monastery, Arabic 582","A Universal History","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1jd614g%2F5s47fz5p/full/!200,200/0/default.jpg","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1jd614g","Work","","","","901/1000","10th c. CE","","","","","Beginning with the story of Moses and ending by the reign of the Caliph al-Ma’mūn","","","","Kamil","","","163 ff.","389.5 g","Codex","170 x 152 x 37 mm","","Paper","","","","","","","","","","","","","text","Historical works","ara","right-to-left","Arabic","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 582","Old Collection","https://www.loc.gov/item/00279390635-ms/","http://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1jd614g/manifest","delivery 1","336",""
