"File Name","Item Sequence","Title","Descriptive title","Thumbnail URL","viewingHint","Parent ARK","Item ARK","Object Type","AltTitle.other","AltTitle.uniform","Place of origin","Date.normalized","Date.creation","Scribe","Author","Associated name","Contents note","Colophon","Incipit","Explicit","References","Provenance","General note","Format.extent","Format.weight","Form","Format.dimensions","Support","Foliation","Page layout","Hand note","Illustrations note","Inscription","Additions","Binding note","Ink color","Features","Condition note","Type.typeOfResource","Type.genre","Language","Text direction","Writing system","Script","Script note","Rights.statementLocal","Rights contact","Name.repository","Shelfmark","Collection (physical)","Other version(s)","IIIF Manifest URL","delivery","image count"
"","","St. Catherine’s Monastery, Sinai Arabic 512","Martyrdoms and Lives of Saints","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1fv04sh%2Frt711z2r/full/!200,200/0/default.jpg","paged","ark:/21198/z1bk2gmg","ark:/21198/z1fv04sh","Work","","","","1259","1259","","","","Prayers ; Martyrdom of SS. Peter and Paul ; Story of Mary the Egyptian ; Martyrdom of St. Shmonith and her seven daughters ; Martyrdom of SS. Sergius and Bacchus","","","","Kamil","","","231 ff.","498.3 g","codex","144 x 116 x 77.0 mm","Paper","","","","","","","","","Dated","","text","Historical works|~|Martyrologies","ara","right-to-left","Arabic","Naskh","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 512","Sinai. Old Collection","https://www.loc.gov/item/00279390234-ms/","https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fz1fv04sh/manifest","6.2","472"
"","","St. Catherine’s Monastery, Sinai Arabic 513","Martyrdoms and Lives of Saints ; Mimars","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1b29d02%2Frc27xz67/full/!200,200/0/default.jpg","paged","ark:/21198/z1bk2gmg","ark:/21198/z1b29d02","Work","","","","901/1000","10th c.","","","","Ancient Codex containing twenty-one miscellaneous treatises which may be classified as follows: 1 - Life of the Prophet Elijah. 2 - Martyrdoms and Lives of SS. Theodore the Leader of Battalions, Thecla who became St. Paul’s pupil, Irene, Eustace and his wife and sons, Sergius andBacchus, Barbara, Pelagia, and Anthony the Damascene ; Mimars and Homilies by SS. John Chrysostom, Gregory, Ephraem, Athanasius, and Jacob the Pious ; Exodus and Book of Daniel ; Book of the Master and the Pupil: a series of ten problems put forward by Ibrahim to his uncle St. Ephraem","","","","Kamil","","","390 ff.","853.4 g","codex","237 x 169 x 64.0 mm","Paper","","","","","","","","","","","text","Historical works|~|Hagiographies","ara","right-to-left","Arabic","Naskh","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 513","Sinai. Old Collection","https://www.loc.gov/item/00279390222-ms/","https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fz1b29d02/manifest","6.2","784"
"","","St. Catherine’s Monastery, Sinai Arabic 52","","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1hx2xb8%2Fg767n12w/full/!200,200/0/default.jpg","paged","ark:/21198/z1bk2gmg","ark:/21198/z1hx2xb8","Work","Psalter and Odes","Bible. Psalms|~|Psalter","","1101/1200","12th c.","","","","","","","","Kamil","","","242 ff.","566.9 g","codex","157 x 120 x 76.0 mm","Paper","","","","","","","","","","","text","Biblical texts|~|Liturgical texts","ara","right-to-left","Arabic","Naskh","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 52","Sinai. Old Collection","https://www.nli.org.il/en/manuscripts/NNL_ALEPH003891595/NLI","https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fz1hx2xb8/manifest","6.2","494"
"","","St. Catherine’s Monastery, Sinai Arabic 523","Lives of Saints ; Mimars","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1698n7w%2Fnb799s1h/full/!200,200/0/default.jpg","paged","ark:/21198/z1bk2gmg","ark:/21198/z1698n7w","Work","","","","1201/1300","13th c.","","","Epiphanius, Saint, Bishop of Constantia in Cyprus, approximately 310-403|~|John the Baptist","Mimar on John Baptist ; The story of the forty martyrs of Sebastia ; Nativity of Our Lady and of Jesus by the Apostle Jacob ; Account of St. Asia the Miracle-Maker ; Life of St. George ; Life of St. Epiphanius Bishop of Cyprus","","","","Kamil","","","141 ff.","514.4 g","codex","168 x 138 x 56.0 mm","Paper","","","","","","","","","","","text","Historical works|~|Hagiographies","ara","right-to-left","Arabic","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 523","Sinai. Old Collection","https://www.loc.gov/item/00279390295-ms/","https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fz1698n7w/manifest","6.2","292"
"","","St. Catherine’s Monastery, Sinai Arabic 530","Martyrdoms and Lives of Saints","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz12j7wh5%2F7h42rd0d/full/!200,200/0/default.jpg","paged","ark:/21198/z1bk2gmg","ark:/21198/z12j7wh5","Work","","","","1233","1233","","","","Lives of Saints John Theologus ; John of Dailam and his miracles in Mosul during the reign of the Omaiyads, and Maximus and Dometius the children of King Leontius ; Martyrdom of Qāyātīs, the woman-slave of King Costa of Alexandria, of Aurāūs and his seven relatives in Egypt, and of Cornelius the Centurion, the first of the Romans to embrace Christianity","","","","Kamil","","","421 ff.","1437.3 g","codex","173 x 148 x 115.0 mm","Paper","","","","","","","","","Dated","","text","Historical works|~|Hagiographies","ara","right-to-left","Arabic","Naskh","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 530","Sinai. Old Collection","https://www.loc.gov/item/0027939026A-ms/","https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fz12j7wh5/manifest","6.2","854"
"","","St. Catherine’s Monastery, Sinai Arabic 554","Paradise of the Fathers","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1xs7d4m%2Fw1950x5d/full/!200,200/0/default.jpg","paged","ark:/21198/z1bk2gmg","ark:/21198/z1xs7d4m","Work","","","","1259","1259","","","","","","","","Kamil","","","314 ff.","642.9 g","codex","149 x 106 x 84.0 mm","Paper","","","","","","","","","Dated","","text","Historical works|~|Hagiographies","ara","right-to-left","Arabic","Naskh","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 554","Sinai. Old Collection","https://www.loc.gov/item/00279390428-ms/","https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fz1xs7d4m/manifest","6.2","636"
"","","St. Catherine’s Monastery, Sinai Arabic 556","Seven miscellaneous treatises","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1t45bth%2Fsk19t456/full/!200,200/0/default.jpg","paged","ark:/21198/z1bk2gmg","ark:/21198/z1t45bth","Work","","","","1101/1200","12th c.","","","","Seven miscellaneous treatises: 1 - Debate between a monk and a Moslem prince. Beginning lost. 2 - Three Lives of SS. Jacob the Persian, Paul the Priest, and Barbara. 3 - Book of the Nativity of Our Lady, and mother on Her Dormition. 4 - Discourse by St. John Chrysostom on the rich and the poor","","","","Kamil","","","184 ff.","368.5 g","codex","155 x 139 x 65.0 mm","Paper","","","","","","","","","","","text","Theological works|~|Apophthegmata","ara","right-to-left","Arabic","Naskh","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 556","Sinai. Old Collection","https://www.loc.gov/item/00279390532-ms/","https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fz1t45bth/manifest","6.2","376"
"","","St. Catherine’s Monastery, Sinai Arabic 56","","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1d525m7%2Fqd744g65/full/!200,200/0/default.jpg","paged","ark:/21198/z1bk2gmg","ark:/21198/z1d525m7","Work","Psalter and Horologion","Bible. Psalms|~|Horologion|~|Psalter","","1401/1500","15th c.","","","","","","","","Kamil","","","153 ff.","240.1 g","codex","153 x 133 x 33.0 mm","Paper","","","","","","","","","","","text","Biblical texts|~|Liturgical texts","ara","right-to-left","Arabic","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 56","Sinai. Old Collection","https://www.nli.org.il/en/manuscripts/NNL_ALEPH003891598/NLI","https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fz1d525m7/manifest","6.2","310"
"","","St. Catherine’s Monastery, Sinai Arabic 568","Paradise of the Fathers ; Teaching of St. Basil","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1pc4m53%2Frj631r14/full/!200,200/0/default.jpg","paged","ark:/21198/z1bk2gmg","ark:/21198/z1pc4m53","Work","","","","1201/1300","13th c.","","","Basil, Saint, Bishop of Caesarea, approximately 329-379","","","","","Kamil","","","248 ff.","614.8 g","codex","141 x 118 x 82.0 mm","Paper","","","","","","","","","","","text","Historical works|~|Hagiographies","ara","right-to-left","Arabic","Naskh","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 568","Sinai. Old Collection","https://www.nli.org.il/en/manuscripts/NNL_ALEPH003871037/NLI","https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fz1pc4m53/manifest","6.2","506"
"","","St. Catherine’s Monastery, Sinai Arabic 571","Paradise of the Fathers","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1jm3vdx%2Ffz622g7v/full/!200,200/0/default.jpg","paged","ark:/21198/z1bk2gmg","ark:/21198/z1jm3vdx","Work","","","","1201/1300","13th c.","","","","Includes treatise containing problems submitted by older hermits to St. Simeon Stylite","","","","Kamil","","","223 ff.","1495.7 g","codex","269 x 220 x 53.0 mm","Paper","","","","","","","","","","","text","Historical works|~|Hagiographies","ara","right-to-left","Arabic","Naskh","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 571","Sinai. Old Collection","https://www.loc.gov/item/0027939057A-ms/","https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fz1jm3vdx/manifest","6.2","452"
"","","St. Catherine’s Monastery, Sinai Arabic 59","","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz18d1dxz%2Fcg309g1r/full/!200,200/0/default.jpg","paged","ark:/21198/z1bk2gmg","ark:/21198/z18d1dxz","Work","Psalter and Odes","Bible. Psalms|~|Bible. Odes|~|Psalter","","1656","1656","","","","","","","","Kamil","","","166 ff.","445.8 g","codex","156 x 115 x 52.0 mm","Paper","","","","","","","","","Dated","","text","Biblical texts|~|Liturgical texts","ara","right-to-left","Arabic","Naskh","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 59","Sinai. Old Collection","https://www.nli.org.il/en/manuscripts/NNL_ALEPH003891601/NLI","https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fz18d1dxz/manifest","6.2","340"
"","","St. Catherine’s Monastery, Sinai Arabic 623","","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1dv33k7%2Fgd35vt36/full/!200,200/0/default.jpg","paged","ark:/21198/z1bk2gmg","ark:/21198/z1dv33k7","Work","","Bible. Psalms|~|Psalter","","1201/1300","13th c.","","","","Psalms with Kathismata inserted in text","","","","Kamil","","","125 ff.","192 g","codex","149 x 110 x 30.0 mm","Paper","","","","","","","","","","","text","Biblical texts|~|Liturgical texts","ara","right-to-left","Arabic","Naskh","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 623","Sinai. Old Collection","https://www.nli.org.il/en/manuscripts/NNL_ALEPH003871436/NLI","https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fz1dv33k7/manifest","6.2","256"
"","","St. Catherine’s Monastery, Sinai Arabic 677","Canons of Pope Clement ; Canons of the Oecumenical Councils","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1932bvt%2F3k55427v/full/!200,200/0/default.jpg","paged","ark:/21198/z1bk2gmg","ark:/21198/z1932bvt","Work","","","","1201/1300","13th c.","","","","Canons of Pope Clement together with some of the Canons of the Oecumenical Councils beginning with the second Council convened at Constantinople","","","","Kamil","","","85 ff.","380.3 g","codex","212 x 156 x 31.0 mm","Paper","","","","","","","","","","","text","Canon law","ara","right-to-left","Arabic","Naskh","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 677","Sinai. Old Collection","https://www.loc.gov/item/00279390738-ms/","https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fz1932bvt/manifest","6.2","178"
"","","St. Catherine’s Monastery, Sinai Arabic 73","","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz14n0p90%2Fpn784867/full/!200,200/0/default.jpg","paged","ark:/21198/z1bk2gmg","ark:/21198/z14n0p90","Work","Epistles of St. Paul, divided according to the Greek Calendar","Bible. Epistles of Paul","","801/900","9th c.","","","","Beginning Romans VI, 20, ending 2 Timothy III, 8 ;Palimpsest pastedowns (undertext majuscule Greek)","","","","Kamil","","","96 ff.","403.9 g","codex","160 x 131 x 48.0 mm","Parchment","","","","","","","","","Palimpsest","","text","Biblical texts","ara","right-to-left","Arabic","Kufic","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 73","Sinai. Old Collection","https://www.loc.gov/item/00279385974-ms/","https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fz14n0p90/manifest","6.2","204"
"","","St. Catherine’s Monastery, Sinai Syriac 11","Four Gospels (Pshitta)","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11k0vjk%2Ffk54sk6m/full/!200,200/0/default.jpg","paged","ark:/21198/z1bk2gmg","ark:/21198/z11k0vjk","Work","","Bible. Gospels","","801/900","9th c.","","","","","","","","Kamil","","","126 ff.","1181.6 g","codex","245 x 167 x 71.0 mm","Parchment","","","","","","","","","","","text","Biblical texts|~|Gospel books","syc","right-to-left","Syriac","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Syriac 11","Sinai. Old Collection","https://www.loc.gov/item/00279386279-ms/","https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fz11k0vjk/manifest","6.2","260"
"","","St. Catherine’s Monastery, Sinai Syriac 141","","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1md0hps%2Fmn33xj27/full/!200,200/0/default.jpg","paged","ark:/21198/z1bk2gmg","ark:/21198/z1md0hps","Work","","Heirmologion","","1201/1300","13th c.","","","","","","","","Kamil","","","200 ff.","542.2 g","codex","170 x 117 x 56.0 mm","Parchment","","","","","","","","","","","text","Liturgical texts","syc","right-to-left","Syriac","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Syriac 141","Sinai. Old Collection","https://www.nli.org.il/en/manuscripts/NNL_ALEPH003891726/NLI","https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fz1md0hps/manifest","6.2","412"
"","","St. Catherine’s Monastery, Sinai Syriac 150","","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1gm9rzh%2Fv439bk12/full/!200,200/0/default.jpg","paged","ark:/21198/z1bk2gmg","ark:/21198/z1gm9rzh","Work","","Horologion","","1201/1300","13th c.","","","","","","","","Kamil","","","91 ff.","529.7 g","codex","165 x 136 x 51.0 mm","Paper","","","","","","","","","","","text","Liturgical texts","syc","right-to-left","Syriac","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Syriac 150","Sinai. Old Collection","","https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fz1gm9rzh/manifest","6.2","192"
"","","St. Catherine’s Monastery, Sinai Syriac 151","","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1bv919g%2Fjk61dr8m/full/!200,200/0/default.jpg","paged","ark:/21198/z1bk2gmg","ark:/21198/z1bv919g","Work","","Horologion","","1201/1300","13th c.","","","","","","","","Kamil","","","125 ff.","591.5 g","codex","166 x 139 x 55.0 mm","Paper","","","","","","","","","","f. 41v-44r, 47v-49r, 50v-51r, 66v-68r, 69v-72r, 73v-76r, 78v-82r, 87v-91r, 92v-93r, 102v-103r stuck together","text","Liturgical texts","syc","right-to-left","Syriac","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Syriac 151","Sinai. Old Collection","https://www.loc.gov/item/00279388550-ms/","https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fz1bv919g/manifest","6.2","284"
"","","St. Catherine’s Monastery, Sinai Syriac 154","","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz17388nz%2Fcx96zf8g/full/!200,200/0/default.jpg","paged","ark:/21198/z1bk2gmg","ark:/21198/z17388nz","Work","","Heirmologion","","1201/1300","13th c.","","","","","","","","Kamil","","","227 ff.","742.3 g","codex","151 x 136 x 83.0 mm","Parchment","","","","","","","","","","","text","Liturgical texts","syc","right-to-left","Syriac","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Syriac 154","Sinai. Old Collection","https://www.nli.org.il/en/manuscripts/NNL_ALEPH003871446/NLI","https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fz17388nz/manifest","6.2","468"
"","","St. Catherine’s Monastery, Sinai Syriac 155","","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz13f67cd%2Frx46pq69/full/!200,200/0/default.jpg","paged","ark:/21198/z1bk2gmg","ark:/21198/z13f67cd","Work","","Bible. Psalms","","1256","1256","","","","","","","","Kamil","","","254 ff.","754 g","codex","156 x 126 x 80.0 mm","Paper","","","","","","","","","Dated","","text","Biblical texts","syc","right-to-left","Syriac","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Syriac 155","Sinai. Old Collection","https://www.loc.gov/item/00279388562-ms/","https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fz13f67cd/manifest","6.2","523"
"","","St. Catherine’s Monastery, Sinai Syriac 161","","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1zp5qwq%2Fb652j38c/full/!200,200/0/default.jpg","paged","ark:/21198/z1bk2gmg","ark:/21198/z1zp5qwq","Work","Lectionary of New Testament","Lectionary","","1201/1300","13th c.","","","","","","","","Kamil","","","39 ff.","177.9 g","codex","170 x 131 x 23.0 mm","Paper","","","","","","","","","","","text","Lectionaries|~|Liturgical texts|~|Biblical texts","syc","right-to-left","Syriac","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Syriac 161","Sinai. Old Collection","https://www.loc.gov/item/00279388641-ms/","https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fz1zp5qwq/manifest","6.2","88"
"","","St. Catherine’s Monastery, Sinai Syriac 163","","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1tx504b%2Fvc784t66/full/!200,200/0/default.jpg","paged","ark:/21198/z1bk2gmg","ark:/21198/z1tx504b","Work","","Pentekostarion","","1201/1300","13th c.","","","","","","","","Kamil","","","76 ff.","254.5 g","codex","169 x 129 x 34.0 mm","Paper","","","","","","","","","","","text","Liturgical texts","syc","right-to-left","Syriac","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Syriac 163","Sinai. Old Collection","https://www.nli.org.il/en/manuscripts/NNL_ALEPH003871449/NLI","https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fz1tx504b/manifest","6.2","166"
"","","St. Catherine’s Monastery, Sinai Syriac 164","","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1q5479k%2Fpd760p28/full/!200,200/0/default.jpg","paged","ark:/21198/z1bk2gmg","ark:/21198/z1q5479k","Work","","Troparion","","1201/1300","13th c.","","","","","","","","Kamil","","","98 ff.","300.7 g","codex","165 x 136 x 34.0 mm","Paper","","","","","","","","","","","text","Liturgical texts|~|Hymnals","syc","right-to-left","Syriac","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Syriac 164","Sinai. Old Collection","https://www.nli.org.il/en/manuscripts/NNL_ALEPH003871450/NLI","https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fz1q5479k/manifest","6.2","206"
"","","St. Catherine’s Monastery, Sinai Syriac 166","","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1kd3gkv%2F13084j5c/full/!200,200/0/default.jpg","paged","ark:/21198/z1bk2gmg","ark:/21198/z1kd3gkv","Work","","Horologion","","1267","1267","","","","","","","","Kamil","","","242 ff.","679.6 g","codex","147 x 123 x 85.0 mm","Paper","","","","","","","","","Dated","f. 39, 62, 105, 121, 132, 152, 185, 236, 240, 245, 251 stuck together ; f. 92, 93 split","text","Liturgical texts","syc","right-to-left","Syriac","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Syriac 166","Sinai. Old Collection","https://www.loc.gov/item/00279388628-ms/","https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fz1kd3gkv/manifest","6.2","514"
