Shelfmark,References,References with page numbers,Descriptive title,AltTitle.uniform,Collection,delivery
Sinai Arabic 530,Kamil,,Martyrdoms and Lives of Saints,,Old Collection,delivery 6.2
Sinai Arabic 554,Kamil,,Paradise of the Fathers,,Old Collection,delivery 6.2
Sinai Arabic 556,Kamil,,Seven miscellaneous treatises,,Old Collection,delivery 6.2
Sinai Arabic 56,Kamil,,,Bible. Psalms|~|Horologion|~|Psalter,Old Collection,delivery 6.2
Sinai Arabic 568,Kamil,,Paradise of the Fathers ; Teaching of St. Basil,,Old Collection,delivery 6.2
Sinai Arabic 571,Kamil,,Paradise of the Fathers,,Old Collection,delivery 6.2
Sinai Arabic 59,Kamil,,,Bible. Psalms|~|Bible. Odes|~|Psalter,Old Collection,delivery 6.2
Sinai Arabic 623,Kamil,,,Bible. Psalms|~|Psalter,Old Collection,delivery 6.2
Sinai Arabic 677,Kamil,,Canons of Pope Clement ; Canons of the Oecumenical Councils,,Old Collection,delivery 6.2
Sinai Arabic 73,Kamil,,,Bible. Epistles of Paul,Old Collection,delivery 6.2
Sinai Syriac 11,Kamil,,,Bible. Gospels,Old Collection,delivery 6.2
Sinai Syriac 141,Kamil,,,Heirmologion,Old Collection,delivery 6.2
Sinai Syriac 150,Kamil,,,Horologion,Old Collection,delivery 6.2
Sinai Syriac 151,Kamil,,,Horologion,Old Collection,delivery 6.2
Sinai Syriac 154,Kamil,,,Heirmologion,Old Collection,delivery 6.2
Sinai Syriac 155,Kamil,,,Bible. Psalms,Old Collection,delivery 6.2
Sinai Syriac 161,Kamil,,,Lectionary,Old Collection,delivery 6.2
Sinai Syriac 163,Kamil,,,Pentekostarion,Old Collection,delivery 6.2
Sinai Syriac 164,Kamil,,,Troparion,Old Collection,delivery 6.2
Sinai Syriac 166,Kamil,,,Horologion,Old Collection,delivery 6.2
Sinai Syriac 168,Kamil,,Services,,Old Collection,delivery 6.2
Sinai Syriac 173,Kamil,,,Euchologion,Old Collection,delivery 6.2
Sinai Syriac 174,Kamil,,,Euchologion,Old Collection,delivery 6.2
Sinai Syriac 215,Kamil,,,Lectionary,Old Collection,delivery 6.2
Sinai Syriac 23,Kamil,,Lives of Egyptian Fathers,,Old Collection,delivery 6.2
Sinai Syriac 233,Kamil,,,Menologion,Old Collection,delivery 6.2
Sinai Syriac 245,Kamil,,,Bible. Psalms,Old Collection,delivery 6.2
Sinai Syriac 248,Kamil,,,Pentekostarion,Old Collection,delivery 6.2
Sinai Syriac 254,Kamil,,Services,,Old Collection,delivery 6.2
Sinai Syriac 256,Kamil,,Prayer for dead,,Old Collection,delivery 6.2
Sinai Syriac 258,Kamil,,,Euchologion,Old Collection,delivery 6.2
Sinai Syriac 262,Kamil,,Services,,Old Collection,delivery 6.2
Sinai Syriac 265,Kamil,,Services,,Old Collection,delivery 6.2
Sinai Syriac 272,Kamil,,,Bible. Gospels,Old Collection,delivery 6.2
Sinai Syriac 275,Kamil,,,Bible. Psalms,Old Collection,delivery 6.2
Sinai Syriac 276,Kamil,,Services,,Old Collection,delivery 6.2
Sinai Syriac 33,Kamil,,Selections from the Bible with Commentary,,Old Collection,delivery 6.2
Sinai Syriac 36,Kamil,,,Menologion,Old Collection,delivery 6.2
Sinai Syriac 39,Kamil,,,Lectionary,Old Collection,delivery 6.2
Sinai Syriac 41,Kamil,,,Bible. Psalms,Old Collection,delivery 6.2
Sinai Syriac 54,Kamil,,,Bible. Acts|~|Bible. Epistles|~|Bible. Gospels,Old Collection,delivery 6.2
Sinai Syriac 59,Kamil,,,"John Chrysostom, Saint, -407. Homilies on John",Old Collection,delivery 6.2
Sinai Syriac 6,Kamil,,,Evangelion,Old Collection,delivery 6.2
Sinai Syriac 67,Kamil,,Mimars by St. Ephraem the Syrian,,Old Collection,delivery 6.2
Sinai Syriac 72,Kamil,,,Octoechos,Old Collection,delivery 6.2
Sinai Syriac 73,Kamil,,,Octoechos,Old Collection,delivery 6.2
Sinai Arabic 119,Kamil,,,Evangelion,Old Collection,delivery 6.3
Sinai Arabic 133,Kamil,,,Evangelion,Old Collection,delivery 6.3
Sinai Arabic 184,Kamil,,,Horologion,Old Collection,delivery 6.3
Sinai Arabic 187,Kamil,,,Horologion,Old Collection,delivery 6.3
Sinai Arabic 206,Kamil,,,Horologion,Old Collection,delivery 6.3
Sinai Arabic 23,Kamil,,,Bible. Psalms|~|Bible. Odes|~|Psalter,Old Collection,delivery 6.3
Sinai Arabic 268,Kamil,,Works of Dionysius the Areopagite,,Old Collection,delivery 6.3
Sinai Arabic 275,Kamil,,Mimars by St. Gregory the Theologian,,Old Collection,delivery 6.3
Sinai Arabic 289,Kamil,, Discourses of St. Basil,"John Chrysostom, Saint, -407. Homilies on the Gospel of Saint Matthew|~|John Chrysostom, Saint, -407. Homilies on First Corinthians",Old Collection,delivery 6.3
Sinai Arabic 311,Kamil,,Mimars by St. Ephraem the Syrian,,Old Collection,delivery 6.3
Sinai Arabic 317,Kamil,,Works of St. John Damascene ; Patristica on the Faith by Bishop ‘Abdallah ibn al-Fadl,,Old Collection,delivery 6.3
Sinai Arabic 324,Kamil,,Mimars by John Climax,Barlaam and Joasaph,Old Collection,delivery 6.3
Sinai Arabic 349,Kamil,,Mimars of St. Isaac the Syrian,,Old Collection,delivery 6.3
Sinai Arabic 35,Kamil,,,Bible. Psalms|~|Bible. Odes|~|Psalter,Old Collection,delivery 6.3
Sinai Arabic 355,Kamil,,Mimars of St. Isaac the Syrian,,Old Collection,delivery 6.3
Sinai Arabic 36,Kamil,,,Bible. Psalms|~|Bible. Odes|~|Psalter,Old Collection,delivery 6.3
Sinai Arabic 393,Kamil,,Canons of the Four Kings,,Old Collection,delivery 6.3
Sinai Arabic 4,Kamil,,,Bible. Pentateuch|~|Bible. Old Testament,Old Collection,delivery 6.3
Sinai Arabic 439,Kamil,,Mimars ; Paradise of the Fathers,,Old Collection,delivery 6.3
Sinai Arabic 479,Kamil,,"Paradise of the Fathers, Commentary on the Books of Genesis and Mimars by John Climax",Lectionary,Old Collection,delivery 6.3
Sinai Arabic 484,Kamil,,Varia,Lectionary|~|Evangelion,Old Collection,delivery 6.3
Sinai Arabic 491,Kamil,,Sermons for Sundays and Feasts ; The Book of the Master and the Pupil,,Old Collection,delivery 6.3
Sinai Arabic 495,Kamil,,Forty-three theological discourses known as the Book of the Master and the Pupil written by St. Thaddeus of Edessa,,Old Collection,delivery 6.3
Sinai Arabic 546,Kamil,,Paradise of the Fathers,,Old Collection,delivery 6.3
Sinai Arabic 555,Kamil,,Treatise by St. John Carpatheus ; Apophthegmata,Troparion,Old Collection,delivery 6.3
Sinai Arabic 561,Kamil,,Life of St. Eustratius ; Paradise of the Fathers ; Fourteen treatises,,Old Collection,delivery 6.3
Sinai Arabic 566,Kamil,,Paradise of the Fathers,,Old Collection,delivery 6.3
Sinai Arabic 567,Kamil,,,"Nikon of the Black Mountain, ca. 1025-ca. 1100. Pandektēs",Old Collection,delivery 6.3
Sinai Arabic 573,Kamil,,A modern summary of the Paradise of the Fathers,,Old Collection,delivery 6.3
Sinai Arabic 580,Kamil,,"The Universal History of Mahbub ibn Constantine al-Manbi-gī ar-Rūmi, Part I",,Old Collection,delivery 6.3
Sinai Arabic 592,Kamil,,,"John Chrysostom, Saint, -407. Homilies on the Epistle to the Hebrews",Old Collection,delivery 6.3
Sinai Arabic 593,Kamil,,Discourses (48) by Theodore,"Nikon of the Black Mountain, ca. 1025-ca. 1100. Pandektēs",Old Collection,delivery 6.3
Sinai Arabic 611,Kamil,,,Horologion,Old Collection,delivery 6.3
Sinai Arabic 619,Kamil,,,Octoechos,Old Collection,delivery 6.3
Sinai Arabic 674,Kamil,,,Horologion,Old Collection,delivery 6.3
Sinai Arabic 679,Kamil,,Six discourses on Priesthood derived from debates between St. Basil and St. John Chrysostom,,Old Collection,delivery 6.3
Sinai Arabic 68,Kamil,,,Bible. Gospels,Old Collection,delivery 6.3
Sinai Arabic 684,Kamil,,,"Nikon of the Black Mountain, ca. 1025-ca. 1100. Pandektēs",Old Collection,delivery 6.3
Sinai Arabic 687,Kamil,,Account book,,Old Collection,delivery 6.3
Sinai Arabic 688,Kamil,,Account book,,Old Collection,delivery 6.3
Sinai Arabic 689,Kamil,,,Prophetologion,Old Collection,delivery 6.3
Sinai Arabic 690,Kamil,,Record book of treaties with the Arab tribes of Mt. Sinai,,Old Collection,delivery 6.3
Sinai Arabic 691,Kamil,,Receipt book,,Old Collection,delivery 6.3
Sinai Arabic 694,Kamil,,,Horologion,Old Collection,delivery 6.3
Sinai Arabic 697,,,,,Old Collection,delivery 6.3
Sinai Arabic 703,,,,,Old Collection,delivery 6.3
Sinai Arabic 704,,,,,Old Collection,delivery 6.3
Sinai Arabic 705,,,,,Old Collection,delivery 6.3
Sinai Arabic 706,,,,,Old Collection,delivery 6.3
Sinai Syriac 12,Kamil,,,Bible. Luke,Old Collection,delivery 6.3
Sinai Syriac 120,Kamil,,,Lectionary|~|Bible. Acts|~|Bible. Epistles,Old Collection,delivery 6.3
Sinai Syriac 143,Kamil,,,Bible. Psalms,Old Collection,delivery 6.3
Sinai Syriac 167,Kamil,,Services,,Old Collection,delivery 6.3
Sinai Syriac 171,Kamil,,,Euchologion,Old Collection,delivery 6.3
Sinai Syriac 188,Kamil,,,Menologion,Old Collection,delivery 6.3
Sinai Syriac 198,Kamil,,,Menologion,Old Collection,delivery 6.3
Sinai Syriac 204,Kamil,,,Menologion,Old Collection,delivery 6.3
Sinai Syriac 24,Kamil,,Mimars by St. Isaac the Syrian ; Lives of Saints. Selections,,Old Collection,delivery 6.3
Sinai Syriac 249,Kamil,,,Horologion,Old Collection,delivery 6.3
Sinai Syriac 251,Kamil,,Services,,Old Collection,delivery 6.3
Sinai Syriac 26,Kamil,,Sayings of St. Isaiah ; Lives of the Saints. Selections,,Old Collection,delivery 6.3
Sinai Syriac 29,Kamil,,Mimars by St. Jacob,,Old Collection,delivery 6.3
Sinai Syriac 48,Kamil,,,Sticherarion,Old Collection,delivery 6.3
Sinai Syriac 77,Kamil,,,Triodion|~|Pentekostarion,Old Collection,delivery 6.3
Sinai Syriac 81,Kamil,,,Lectionary|~|Bible. Acts|~|Bible. Epistles,Old Collection,delivery 6.3
Sinai Arabic NF M 12,Meimaris,,Works of John Chrysostom; Works of Ephrem; Lives and martyrdoms of saints,Bible. Kings|~|Bible. Beatitudes,New Finds,delivery nf_1
Sinai Arabic NF M 28,Meimaris,,Mimar and sermon of John Chrysostom,Bible. John|~|Bible. Epistles of Paul,New Finds,delivery nf_1
Sinai Arabic NF M 5,Meimaris,,,Bible,New Finds,delivery nf_1
Sinai Arabic NF M 7,Meimaris,,,Lectionary,New Finds,delivery nf_1
Sinai Arabic NF X 4,Meimaris,,Works on Church history and theology of Christian denominations,,New Finds,delivery nf_1
Sinai Greek NF MG 9,Greek New Finds,,,Bible. Psalms,New Finds,delivery nf_1
Sinai Syriac NF X 35,Philothée,,,Bible. Acts|~|Bible. Epistles of Paul,New Finds,delivery nf_1
Sinai Syriac NF X 36,Philothée,,Book of prayers,Hymns|~|Canticles,New Finds,delivery nf_1
Sinai Syriac NF X 37,Philothée,,,Euchologion,New Finds,delivery nf_1
Sinai Syriac NF X 38,Philothée,,,Euchologion,New Finds,delivery nf_1
Sinai Syriac NF X 40,Philothée,,Book of offices,Horologion|~|Hymns,New Finds,delivery nf_1
Sinai Syriac NF X 41,Philothée,,,Book of the Translator,New Finds,delivery nf_1
Sinai Syriac NF X 42,Philothée,,,Horologion|~|Bible. Acts,New Finds,delivery nf_1
Sinai Syriac NF X 43,Philothée,,,Psalter,New Finds,delivery nf_1
Sinai Syriac NF X 44,Philothée,,,Psalter,New Finds,delivery nf_1
Sinai Syriac NF X 45,Philothée,,,Euchologion,New Finds,delivery nf_1
