"File Name","Item Sequence","Title","Descriptive title","Thumbnail URL","viewingHint","Parent ARK","Item ARK","Object Type","AltTitle.other","AltTitle.uniform","Place of origin","Date.normalized","Date binding","Date.creation","Scribe","Author","Associated name","Translator","Contents note","Colophon","Incipit","Explicit","References","Provenance","General note","Format.extent","Form","Format.dimensions","Support","Foliation","Page layout","Hand note","Illustrations note","Inscription","Additions","Binding note","Ink color","Features","Condition note","Type.typeOfResource","Type.genre","Language","Text direction","Writing system","Script","Script note","Rights.statementLocal","Rights contact","Name.repository","Shelfmark","Collection (physical)","Other version(s)","image count","IIIF Manifest URL","delivery"
"","","St. Catherine's Monastery, Sinai Syriac 149","","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1w96twx","Work","","Bible. Psalms","","1201/1300","","13th c.","","","","","","","","","Kamil","","","236ff.","codex","176 x 144 x 74.0 mm","Paper","","","","","","","","","","","text","Biblical texts","syc","","","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Syriac 149","Sinai. Old Collection","","0","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1w96twx/manifest","delivery 6.1"
"","","St. Catherine's Monastery, Sinai Syriac 152","Euchologia","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1rj637w","Work","","Euchologion","","1201/1300","","13th c.","","","","","","","","","Kamil","","","223ff.","codex","153 x 119 x 76.0 mm","Paper","","","","","","","","","","","text","Liturgical texts","syc","","","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Syriac 152","Sinai. Old Collection","","0","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1rj637w/manifest","delivery 6.1"
"","","St. Catherine's Monastery, Sinai Syriac 153","","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1mw41t4","Work","","Horologion","","1201/1300","","13th c.","","","","","","","","","Kamil","","","256ff.","codex","149 x 120 x 80.0 mm","Paper","","","","","","","","","","","text","Liturgical texts","syc","","","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Syriac 153","Sinai. Old Collection","","0","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1mw41t4/manifest","delivery 6.1"
"","","St. Catherine's Monastery, Sinai Syriac 158","","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1h4396g","Work","","Horologion","","1275","","1275","","","","","","","","","Kamil","","","146ff.","codex","163 x 123 x 61.0 mm","Paper","","","","","","","","","","","text","Liturgical texts","syc","","","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Syriac 158","Sinai. Old Collection","","0","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1h4396g/manifest","delivery 6.1"
"","","St. Catherine's Monastery, Sinai Syriac 159","Gospels (Matthew and John)","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1cc2jf9","Work","","Bible. Gospels|~|Bible. Matthew|~|Bible. John","","1260","","1260","","","","","","","","","Kamil","","","232ff.","codex","152 x 116 x 72.0 mm","Paper","","","","","","","","","","","text","Biblical texts|~|Gospel books","syc","","","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Syriac 159","Sinai. Old Collection","","0","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1cc2jf9/manifest","delivery 6.1"
"","","St. Catherine's Monastery, Sinai Syriac 160","Troparia","","paged","ark:/21198/z1bk2gmg","ark:/21198/z17m1sm7","Work","","Troparion","","1201/1300","","13th c.","","","","","","","","","Kamil","","","90ff.","codex","153 x 125 x 52.0 mm","Paper","","","","","","","","","","","text","Liturgical texts|~|Hymnals","syc","","","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Syriac 160","Sinai. Old Collection","","0","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz17m1sm7/manifest","delivery 6.1"
"","","St. Catherine's Monastery, Sinai Syriac 165","","","paged","ark:/21198/z1bk2gmg","ark:/21198/z13v11ww","Work","","Bible. Psalms","","1261","","1261","","","","","","","","","Kamil","","","256ff.","codex","161 x 126 x 95.0 mm","Paper","","","","","","","","","","","text","Biblical texts","syc","","","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Syriac 165","Sinai. Old Collection","","0","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz13v11ww/manifest","delivery 6.1"
"","","St. Catherine's Monastery, Sinai Syriac 17","Four Gospels, Acts and Epistles","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1f77x96","Work","","Bible. Acts|~|Bible. Epistles|~|Bible. Gospels","","801/900","","9th c.","","","","","","","","","Kamil","","","165ff.","codex","225 x 161 x 98.0 mm","Parchment","","","","","","","","","","","text","Biblical texts|~|Gospel books","syc","","","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Syriac 17","Sinai. Old Collection","","0","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1f77x96/manifest","delivery 6.1"
"","","St. Catherine's Monastery, Sinai Syriac 170","","","paged","ark:/21198/z1bk2gmg","ark:/21198/z103096b","Work","","Bible. Psalms","","1201/1300","","13th c.","","","","","","","","","Kamil","","","284ff.","codex","144 x 114 x 70.0 mm","Paper","","","","","","","","","","","text","Biblical texts","syc","","","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Syriac 170","Sinai. Old Collection","","0","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz103096b/manifest","delivery 6.1"
"","","St. Catherine's Monastery, Sinai Syriac 175","","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1v99stf","Work","","Sticherarion","","1201/1300","","13th c.","","","","","","","","","Kamil","","","179ff.","codex","149 x 126 x 68.0 mm","Paper","","","","","","","","","","","text","Liturgical texts|~|Hymnals","syc","","","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Syriac 175","Sinai. Old Collection","","0","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1v99stf/manifest","delivery 6.1"
"","","St. Catherine's Monastery, Sinai Syriac 201","","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1qn7rg0","Work","","Bible. Psalms","","1201/1300","","13th c.","","","","","","","","","Kamil","","","246ff.","codex","144 x 114 x 78.0 mm","Paper","","","","","","","","","","","text","Biblical texts","syc","","","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Syriac 201","Sinai. Old Collection","","0","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1qn7rg0/manifest","delivery 6.1"
"","","St. Catherine's Monastery, Sinai Syriac 226","Hymns and Canons","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1kw70s3","Work","","","","1201/1300","","13th c.","","","","","","","","","Kamil","","","89ff.","codex","170 x 130 x 25.0 mm","Paper","","","","","","","","","","","text","Liturgical texts|~|Hymnals","syc","","","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Syriac 226","Sinai. Old Collection","","0","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1kw70s3/manifest","delivery 6.1"
"","","St. Catherine's Monastery, Sinai Syriac 228","Lectionary of Acts and Epistles","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1g4681n","Work","","Lectionary","","1201/1300","","13th c.","","","","","","","","","Kamil","","","224ff.","codex","151 x 120 x 76.0 mm","Paper","","","","","","","","","","","text","Lectionaries|~|Liturgical texts|~|Biblical texts","syc","","","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Syriac 228","Sinai. Old Collection","","0","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1g4681n/manifest","delivery 6.1"
"","","St. Catherine's Monastery, Sinai Syriac 246","Kontakion","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1bc5h6k","Work","","Kontakarion","","1201/1300","","13th c.","","","","","","","","","Kamil","","","25ff.","codex","195 x 148 x 30.0 mm","Paper","","","","","","","","","","","text","Liturgical texts|~|Hymnals","syc","","","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Syriac 246","Sinai. Old Collection","","0","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1bc5h6k/manifest","delivery 6.1"
"","","St. Catherine's Monastery, Sinai Syriac 253","","","paged","ark:/21198/z1bk2gmg","ark:/21198/z16m4rgv","Work","","Bible. Psalms","","1277","","1277","","","","","","","","","Kamil","","","263ff.","codex","143 x 116 x 79.0 mm","Paper","","","","","","","","","","","text","Biblical texts","syc","","","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Syriac 253","Sinai. Old Collection","","0","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz16m4rgv/manifest","delivery 6.1"
"","","St. Catherine's Monastery, Sinai Syriac 255","Prayer for dead","","paged","ark:/21198/z1bk2gmg","ark:/21198/z12v40sz","Work","","","","1270","","1270","","","","","","","","","Kamil","","","67ff.","codex","142 x 121 x 32.0 mm","Paper","","","","","","","","","","","text","Liturgical texts","syc","","","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Syriac 255","Sinai. Old Collection","","0","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz12v40sz/manifest","delivery 6.1"
"","","St. Catherine's Monastery, Sinai Syriac 260","","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1z33hdb","Work","","Bible. Psalms","","1182","","1182","","","","","","","","","Kamil","","","131ff.","codex","166 x 136 x 38.0 mm","Paper","","","","","","","","","","","text","Biblical texts","syc","","","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Syriac 260","Sinai. Old Collection","","0","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1z33hdb/manifest","delivery 6.1"
"","","St. Catherine's Monastery, Sinai Syriac 261","Services","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1tf1g2w","Work","","","","1234","","1234","","","","","","","","","Kamil","","","256ff.","codex","179 x 140 x 68.0 mm","Paper","","","","","","","","","","","text","Liturgical texts","syc","","","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Syriac 261","Sinai. Old Collection","","0","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1tf1g2w/manifest","delivery 6.1"
"","","St. Catherine's Monastery, Sinai Syriac 264","","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1pp0qfh","Work","","Horologion","","1201/1300","","13th c.","","","","","","","","","Kamil","","","101ff.","codex","172 x 135 x 54.0 mm","Paper","","","","","","","","","","","text","Liturgical texts","syc","","","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Syriac 264","Sinai. Old Collection","","0","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1pp0qfh/manifest","delivery 6.1"
"","","St. Catherine's Monastery, Sinai Syriac 273","Ermologion","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1jw9zmw","Work","","Heirmologion","","1201/1300","","13th c.","","","","","","","","","Kamil","","","215ff.","codex","154 x 129 x 68.0 mm","Paper","","","","","","","","","","","text","Liturgical texts","syc","","","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Syriac 273","Sinai. Old Collection","","0","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1jw9zmw/manifest","delivery 6.1"
"","","St. Catherine's Monastery, Sinai Syriac 278","","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1f496tz","Work","","Horologion","","1201/1300","","13th c.","","","","","","","","","Kamil","","","33ff.","codex","160 x 116 x 14.0 mm","Paper","","","","","","","","","","","text","Liturgical texts","syc","","","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Syriac 278","Sinai. Old Collection","","0","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1f496tz/manifest","delivery 6.1"
"","","St. Catherine's Monastery, Sinai Syriac 42","Euchologia","","paged","ark:/21198/z1bk2gmg","ark:/21198/z19k5vzb","Work","","Euchologion","","1101/1200","","12th c.","","","","","","","","","Kamil","","","279ff.","codex","172 x 131 x 78.0 mm","Paper","","","","","","","","","","","text","Liturgical texts","syc","","","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Syriac 42","Sinai. Old Collection","","0","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz19k5vzb/manifest","delivery 6.1"
"","","St. Catherine's Monastery, Sinai Syriac 64","Ermologion","","paged","ark:/21198/z1bk2gmg","ark:/21198/z15t547d","Work","","Heirmologion","","1254","","1254","","","","","","","","","Kamil","","","159ff.","codex","163 x 122 x 75.0 mm","Parchment","","","","","","","","","","","text","Liturgical texts","syc","","","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Syriac 64","Sinai. Old Collection","","0","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz15t547d/manifest","delivery 6.1"
"","","St. Catherine's Monastery, Sinai Syriac 91","Menologion (1st Shabāt - 29 Ab)","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1224cf3","Work","","Menologion","","1286","","1286","","","","","","","","","Kamil","","","316ff.","codex","202 x 160 x 92.0 mm","Paper","","","","","","","","","","","text","Liturgical texts|~|Hagiographies","syc","","","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Syriac 91","Sinai. Old Collection","","0","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1224cf3/manifest","delivery 6.1"
