"File Name","Item Sequence","Title","Descriptive title","Thumbnail URL","viewingHint","Parent ARK","Item ARK","Object Type","AltTitle.other","AltTitle.uniform","Place of origin","Date.normalized","Date binding","Date.creation","Scribe","Author","Associated name","Translator","Contents note","Colophon","Incipit","Explicit","References","Provenance","General note","Format.extent","Format.weight","Form","Format.dimensions","Support","Foliation","Page layout","Hand note","Illustrations note","Inscription","Additions","Binding note","Ink color","Features","Condition note","Type.typeOfResource","Type.genre","Language","Text direction","Writing system","Script","Script note","Rights.statementLocal","Rights contact","Name.repository","Shelfmark","Collection (physical)","Other version(s)","image count","IIIF Manifest URL","delivery"
"","","St. Catherine's Monastery, Sinai Syriac 151","","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1bv919g","Work","","Horologion","","1201/1300","","13th c.","","","","","","","","","Kamil","","","125 ff.","591.5 g","codex","166 x 139 x 55.0 mm","Paper","","","","","","","","","","f. 41v-44r, 47v-49r, 50v-51r, 66v-68r, 69v-72r, 73v-76r, 78v-82r, 87v-91r, 92v-93r, 102v-103r stuck together","text","Liturgical texts","syc","right-to-left","","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Syriac 151","Sinai. Old Collection","","0","","delivery 6.2"
"","","St. Catherine's Monastery, Sinai Syriac 154","","","paged","ark:/21198/z1bk2gmg","ark:/21198/z17388nz","Work","","Heirmologion","","1201/1300","","13th c.","","","","","","","","","Kamil","","","227 ff.","742.3 g","codex","151 x 136 x 83.0 mm","Parchment","","","","","","","","","","","text","Liturgical texts","syc","right-to-left","","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Syriac 154","Sinai. Old Collection","","0","","delivery 6.2"
"","","St. Catherine's Monastery, Sinai Syriac 155","","","paged","ark:/21198/z1bk2gmg","ark:/21198/z13f67cd","Work","","Bible. Psalms","","1256","","1256","","","","","","","","","Kamil","","","254 ff.","754 g","codex","156 x 126 x 80.0 mm","Paper","","","","","","","","","Dated","","text","Biblical texts","syc","right-to-left","","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Syriac 155","Sinai. Old Collection","","0","","delivery 6.2"
"","","St. Catherine's Monastery, Sinai Syriac 161","","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1zp5qwq","Work","Lectionary of New Testament","Lectionary","","1201/1300","","13th c.","","","","","","","","","Kamil","","","39 ff.","177.9 g","codex","170 x 131 x 23.0 mm","Paper","","","","","","","","","","","text","Lectionaries|~|Liturgical texts|~|Biblical texts","syc","right-to-left","","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Syriac 161","Sinai. Old Collection","","0","","delivery 6.2"
"","","St. Catherine's Monastery, Sinai Syriac 163","","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1tx504b","Work","","Pentekostarion","","1201/1300","","13th c.","","","","","","","","","Kamil","","","76 ff.","254.5 g","codex","169 x 129 x 34.0 mm","Paper","","","","","","","","","","","text","Liturgical texts","syc","right-to-left","","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Syriac 163","Sinai. Old Collection","","0","","delivery 6.2"
"","","St. Catherine's Monastery, Sinai Syriac 164","","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1q5479k","Work","","Troparion","","1201/1300","","13th c.","","","","","","","","","Kamil","","","98 ff.","300.7 g","codex","165 x 136 x 34.0 mm","Paper","","","","","","","","","","","text","Liturgical texts|~|Hymnals","syc","right-to-left","","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Syriac 164","Sinai. Old Collection","","0","","delivery 6.2"
"","","St. Catherine's Monastery, Sinai Syriac 166","","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1kd3gkv","Work","","Horologion","","1267","","1267","","","","","","","","","Kamil","","","242 ff.","679.6 g","codex","147 x 123 x 85.0 mm","Paper","","","","","","","","","Dated","f. 39, 62, 105, 121, 132, 152, 185, 236, 240, 245, 251 stuck together ; f. 92, 93 split","text","Liturgical texts","syc","right-to-left","","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Syriac 166","Sinai. Old Collection","","0","","delivery 6.2"
"","","St. Catherine's Monastery, Sinai Syriac 168","Services","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1fn2qwk","Work","","","","1201/1300","","13th c.","","","","","","","","","Kamil","","","201 ff.","593.7 g","codex","146 x 127 x 69.0 mm","Paper","","","","","","","","","","","text","Liturgical texts","syc","right-to-left","","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Syriac 168","Sinai. Old Collection","","0","","delivery 6.2"
"","","St. Catherine's Monastery, Sinai Syriac 173","","","paged","ark:/21198/z1bk2gmg","ark:/21198/z19w2080","Work","","Euchologion","","1201/1300","","13th c.","","","","","","","","","Kamil","","","123 ff.","256.3 g","codex","139 x 110 x 44.0 mm","Paper","","","","","","","","","","","text","Liturgical texts","syc","right-to-left","","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Syriac 173","Sinai. Old Collection","","0","","delivery 6.2"
"","","St. Catherine's Monastery, Sinai Syriac 174","","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1669xxh","Work","","Euchologion","","1296","","1296","","","","","","","","","Kamil","","","191 ff.","586 g","codex","156 x 116 x 78.0 mm","Paper","","","","","","","","","Dated","","text","Liturgical texts","syc","right-to-left","","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Syriac 174","Sinai. Old Collection","","0","","delivery 6.2"
"","","St. Catherine's Monastery, Sinai Syriac 215","","","paged","ark:/21198/z1bk2gmg","ark:/21198/z12f9671","Work","Lectionary of Acts and Epistles","Lectionary","","1219","","1219","","","","","","","","","Kamil","","","191 ff.","1421.9 g","codex","252 x 178 x 68.0 mm","Paper","","","","decorative elements: 1v","","","","","Dated","","text","Lectionaries|~|Liturgical texts|~|Biblical texts","syc","right-to-left","","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Syriac 215","Sinai. Old Collection","","0","","delivery 6.2"
"","","St. Catherine's Monastery, Sinai Syriac 23","Lives of Egyptian Fathers","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1ww92dj","Work","","","","801/900","","9th c.","","","","","","","","","Kamil","","","121 ff.","1195.9 g","codex","253 x 179 x 65.0 mm","Parchment","","","","","","","","","","","text","Hagiographies|~|Historical works","syc","right-to-left","","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Syriac 23","Sinai. Old Collection","","0","","delivery 6.2"
"","","St. Catherine's Monastery, Sinai Syriac 233","","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1xp8pn0","Work","Menologion (month of Tishrīn II)","Menologion","","1251","","1251","","","","","","","","","Kamil","","","201 ff.","1426 g","codex","268 x 190 x 69.0 mm","Paper","","","","","","","","","Dated","","text","Liturgical texts|~|Hagiographies","syc","right-to-left","","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Syriac 233","Sinai. Old Collection","","0","","delivery 6.2"
"","","St. Catherine's Monastery, Sinai Syriac 245","","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1sx7xwt","Work","","Bible. Psalms","","1273","","1273","","","","","","","","","Kamil","","","193 ff.","710.5 g","codex","171 x 132 x 78.0 mm","Paper","","","","","","","","","Dated","","text","Biblical texts","syc","right-to-left","","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Syriac 245","Sinai. Old Collection","","0","","delivery 6.2"
"","","St. Catherine's Monastery, Sinai Syriac 248","","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1p57656","Work","","Pentekostarion","","1201/1300","","13th c.","","","","","","","","","Kamil","","","263 ff.","516.4 g","codex","160 x 106 x 75.0 mm","Paper","","","","","","","","","","","text","Liturgical texts","syc","right-to-left","","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Syriac 248","Sinai. Old Collection","","0","","delivery 6.2"
"","","St. Catherine's Monastery, Sinai Syriac 254","Services","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1jd6fhc","Work","","","","1201/1300","","13th c.","","","","","","","","","Kamil","","","54 ff.","279.6 g","codex","189 x 144 x 30.0 mm","Paper","","","","","","","","","","","text","Liturgical texts","syc","right-to-left","","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Syriac 254","Sinai. Old Collection","","0","","delivery 6.2"
"","","St. Catherine's Monastery, Sinai Syriac 256","Prayer for dead","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1dn5pt3","Work","","","","1240","","1240","","","","","","","","","Kamil","","","170 ff.","293.5 g","codex","134 x 106 x 44.0 mm","Paper","","","","","","","","","Dated","","text","Liturgical texts","syc","right-to-left","","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Syriac 256","Sinai. Old Collection","","0","","delivery 6.2"
"","","St. Catherine's Monastery, Sinai Syriac 258","","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1903ngz","Work","","Euchologion","","1239","","1239","","","","","","","","","Kamil","","","136 ff.","258.7 g","codex","130 x 104 x 43.0 mm","Paper","","","","","","","","","Dated","","text","Liturgical texts","syc","right-to-left","","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Syriac 258","Sinai. Old Collection","","0","","delivery 6.2"
"","","St. Catherine's Monastery, Sinai Syriac 262","Services","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1572wsp","Work","","","","1201/1300","","13th c.","","","","","","","","","Kamil","","","85 ff.","240.9 g","codex","167 x 126 x 33.0 mm","Paper","","","","","","","","","","","text","Liturgical texts","syc","right-to-left","","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Syriac 262","Sinai. Old Collection","","0","","delivery 6.2"
"","","St. Catherine's Monastery, Sinai Syriac 265","Services","","paged","ark:/21198/z1bk2gmg","ark:/21198/z11g24z0","Work","","","","1201/1300","","13th c.","","","","","","","","","Kamil","","","18 ff.","92.1 g","codex","169 x 134 x 23.0 mm","Paper","","","","","","","","","","","text","Liturgical texts","syc","right-to-left","","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Syriac 265","Sinai. Old Collection","","0","","delivery 6.2"
"","","St. Catherine's Monastery, Sinai Syriac 272","","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1wq1nf8","Work","Four Gospels","Bible. Gospels","","1296","","1296","","","","","","","","","Kamil","","","200 ff.","1279 g","codex","275 x 205 x 60.0 mm","Paper","","","","","","","","","Dated","","text","Biblical texts|~|Gospel books","syc","right-to-left","","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Syriac 272","Sinai. Old Collection","","0","","delivery 6.2"
"","","St. Catherine's Monastery, Sinai Syriac 275","","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1rz0wqj","Work","","Bible. Psalms","","1201/1300","","13th c.","","","","","","","","","Kamil","","","328 ff.","591.4 g","codex","158 x 107 x 96.0 mm","Paper","f.121-130 repeats","","","","","","","","","","text","Biblical texts","syc","right-to-left","","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Syriac 275","Sinai. Old Collection","","0","","delivery 6.2"
"","","St. Catherine's Monastery, Sinai Syriac 276","Services","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1n60538","Work","","","","1201/1300","","13th c.","","","","","","","","","Kamil","","","195 ff.","432.4 g","codex","145 x 102 x 75.0 mm","Parchment","","","","","","","","","","","text","Liturgical texts","syc","right-to-left","","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Syriac 276","Sinai. Old Collection","","0","","delivery 6.2"
"","","St. Catherine's Monastery, Sinai Syriac 33","Selections from the Bible with Commentary","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1s489r1","Work","","","","1001/1100","","11th c.","","","","","Palimpsest beginning at f. 41","","","","Kamil","","","130 ff.","742.3 g","codex","212 x 157 x 62.0 mm","Parchment","","","","","","","","","","","text","Theological works|~|Commentaries","syc","right-to-left","","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Syriac 33","Sinai. Old Collection","","0","","delivery 6.2"
"","","St. Catherine's Monastery, Sinai Syriac 36","","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1nc7jzd","Work","Menologion (month of Ilūl)","Menologion","","1201/1300","","13th c.","","","","","","","","","Kamil","","","110 ff.","501.8 g","codex","168 x 141 x 55.0 mm","Paper","","","","","","","","","","","text","Liturgical texts|~|Hagiographies","syc","right-to-left","","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Syriac 36","Sinai. Old Collection","","0","","delivery 6.2"
"","","St. Catherine's Monastery, Sinai Syriac 39","","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1hm6t4r","Work","Lectionary of Old Testament","Lectionary","","1101/1300","","12th c.","","","","","Palimpsested throughout the book","","","","Kamil","","","233 ff.","1055 g","codex","175 x 130 x 103.0 mm","Parchment","","","","","","","","","","","text","Lectionaries|~|Liturgical texts|~|Biblical texts","syc","right-to-left","","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Syriac 39","Sinai. Old Collection","","0","","delivery 6.2"
"","","St. Catherine's Monastery, Sinai Syriac 41","","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1cv62dd","Work","Psalms 3 : 7-53-6","Bible. Psalms","","801/900","","9th c.","","","","","","","","","Kamil","","","47 ff.","118.7 g","codex","140 x 98 x 26.0 mm","Parchment","","","","","","","","","","","text","Biblical texts","syc","right-to-left","","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Syriac 41","Sinai. Old Collection","","0","","delivery 6.2"
"","","St. Catherine's Monastery, Sinai Syriac 54","","","paged","ark:/21198/z1bk2gmg","ark:/21198/z18359qf","Work","Four Gospels, Act of the Apostles and Epistles","Bible. Acts|~|Bible. Epistles|~|Bible. Gospels","","701/800","","8th c.","","","","","","","","","Kamil","","","184 ff.","2464.9 g","codex","252 x 182 x 103.0 mm","Parchment","11v-12r glued together","","","","","","","","","","text","Biblical texts|~|Gospel books","syc","right-to-left","","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Syriac 54","Sinai. Old Collection","","0","","delivery 6.2"
"","","St. Catherine's Monastery, Sinai Syriac 59","","","paged","ark:/21198/z1bk2gmg","ark:/21198/z14b4k21","Work","Commentary on Gospel of St. John by John Chrysostom","John Chrysostom, Saint, -407. Homilies on John","","801/900","","9th c.","","John Chrysostom, Saint, -407","","","","","","","Kamil","","","61 ff.","535 g","codex","273 x 184 x 50.0 mm","Parchment","","","","","","","","","","","text","Theological works|~|Commentaries","syc","right-to-left","","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Syriac 59","Sinai. Old Collection","","0","","delivery 6.2"
"","","St. Catherine's Monastery, Sinai Syriac 6","","","paged","ark:/21198/z1bk2gmg","ark:/21198/z15b1m5z","Work","Lectionary of Gospels","Evangelion","","1178","","1178","","","","","Palimpsest throughout","","","","Kamil","","","170 ff.","1671.8 g","codex","244 x 204 x 90.0 mm","Parchment","","","","","","","","","Dated","","text","Lectionaries|~|Liturgical texts|~|Biblical texts|~|Gospel books","syc","right-to-left","","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Syriac 6","Sinai. Old Collection","","0","","delivery 6.2"
"","","St. Catherine's Monastery, Sinai Syriac 67","Mimars by St. Ephraem the Syrian","","paged","ark:/21198/z1bk2gmg","ark:/21198/z10p2hq5","Work","","","","801/900","","9th c.","","Ephraem, Syrus, Saint, 303-373","","","","","","","Kamil","","","89 ff.","325.8 g","codex","140 x 123 x 49.0 mm","Parchment","","","","","","","","","","","text","Theological works","syc","right-to-left","","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Syriac 67","Sinai. Old Collection","","0","","delivery 6.2"
"","","St. Catherine's Monastery, Sinai Syriac 72","","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1vx2195","Work","","Octoechos","","1201/1300","","13th c.","","","","","","","","","Kamil","","","261 ff.","1829 g","codex","267 x 189 x 120.0 mm","Paper","","","","","","","","","","","text","Liturgical texts|~|Hymnals","syc","right-to-left","","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Syriac 72","Sinai. Old Collection","","0","","delivery 6.2"
"","","St. Catherine's Monastery, Sinai Syriac 73","","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1r518gd","Work","","Octoechos","","1201/1300","","13th c.","","","","","","","","","Kamil","","","199 ff.","1665.5 g","codex","253 x 182 x 70.0 mm","Paper","","","","decorative elements 70%","","","","","","","text","Liturgical texts|~|Hymnals","syc","right-to-left","","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Syriac 73","Sinai. Old Collection","","0","","delivery 6.2"
